wikidata_id,name,imdb_id
Q303,Elvis Presley,nm0000062
Q9543,Salman Khan,nm0006795
Q9550,Katrina Kaif,nm1229940
Q400,Jenna Jameson,nm0001398
Q512,Vladimir Vysotsky,nm0904584
Q39805,Maria Kulle,nm0474650
Q39958,David Call,nm1964247
Q9960,Ronald Reagan,nm0001654
Q39792,Jack Nicholson,nm0000197
Q24155,Pamela Des Barres,nm0589086
Q24289,Enid Markey,nm0548402
Q24295,Harry Brodribb Irving,nm0410276
Q24304,Eden Sher,nm1311329
Q31409,Jason Antoon,nm0031529
Q24357,Lyndsey Marshal,nm1203457
Q24368,Barbara Palvin,nm5435980
Q39974,Kristin Bauer van Straten,nm0061877
Q39977,Todd Lowe,nm0523067
Q40026,Sylvester Stallone,nm0000230
Q23937,Ethel Grey Terry,nm0855979
Q23953,Maria Bard,nm0054150
Q9557,Aamir Khan,nm0451148
Q39983,Anthony Rapp,nm0710829
Q39986,Janina Gavankar,nm1232470
Q24842,Ulla Jacobsson,nm0414965
Q24881,Laura Soveral,nm0816310
Q24962,Graham Chapman,nm0001037
Q30896,Lalaine Vergara-Paras,nm0482335
Q31013,Patti LaBelle,nm0479458
Q31152,Hilde Hildebrand,nm0383844
Q24057,Dallas Roberts,nm1316767
Q24078,La Jana,nm0478656
Q636,Kate Bush,nm0124165
Q31768,Sadao Abe,nm0008369
Q31812,Flavio Sciolè,nm2080770
Q31899,Danni Ashe,nm0038809
Q24541,E. H. Calvert,nm0130797
Q24632,John Barrowman,nm0057882
Q25089,Woody Allen,nm0000095
Q39965,James Pickens,nm0681782
Q39972,Ed Lauter,nm0491590
Q9570,Amitabh Bachchan,nm0000821
Q31923,Bahman Ghobadi,nm0315842
Q31970,Brenda Strong,nm0834947
Q392,Bob Dylan,nm0001168
Q40032,T. R. Knight,nm1165660
Q40046,Jesse Williams,nm0930898
Q31549,Sean Paul Lockhart,nm1851320
Q31741,Barry Watson,nm0005538
Q31353,Adèle Haenel,nm1194748
Q31481,Pierre Barouh,nm0056435
Q40002,Lucy Griffiths,nm2189625
Q39979,Chris Bauer,nm0061777
Q39982,Bud Cort,nm0001069
Q39990,Michael McMillian,nm0573354
Q39992,Clare Bowen,nm3241371
Q23957,Warner Oland,nm0645941
Q24051,Gloria Dickson,nm0225649
Q40064,Blythe Danner,nm0001100
Q25014,John Cleese,nm0000092
Q407,Linda Lovelace,nm0001483
Q853,Andrei Tarkovsky,nm0001789
Q31221,Evelyn Brent,nm0107574
Q31293,Vondie Curtis-Hall,nm0193554
Q25055,Matilde Muñoz Sampedro,nm0616344
Q25078,Terry Gilliam,nm0000416
Q563,Brigitte Fontaine,nm0284780
Q25080,Ilya Oleynikov,nm0646250
Q32258,James Joseph Dresnok,nm1985950
Q32335,Nia Vardalos,nm0889522
Q32439,Stéphane Audran,nm0000804
Q40240,Kyle Schmid,nm0772704
Q40248,Julie Bowen,nm0100866
Q11093,Valerie Solanas,nm0812640
Q11322,Louis King,nm0003422
Q24829,Orson Welles,nm0000080
Q40070,Takashi Shimura,nm0793766
Q40087,Justin Chambers,nm0150362
Q40090,Chandra Wilson,nm0933156
Q26045,Varvara Myasnikova,nm0616576
Q26047,Leonid Kmit,nm0460388
Q32045,Liam Hemsworth,nm2955013
Q1203,John Lennon,nm0006168
Q765,Dario Fo,nm0283700
Q633,Neil Young,nm0949918
Q814,Coco Austin,nm1146910
Q1666,Jacques Brel,nm0107035
Q10731,Mick Foley,nm0284201
Q10738,Dwayne Johnson,nm0425005
Q26118,Jack Hawkins,nm0370144
Q26173,Pablo Schreiber,nm1032567
Q32452,Roshan Seth,nm0786022
Q32481,Sendhil Ramamurthy,nm0707983
Q40124,Sam Trammell,nm0870794
Q40128,Ricki Lake,nm0001442
Q25100,Nanni Moretti,nm0604335
Q25120,Pier Paolo Pasolini,nm0001596
Q25191,Christopher Nolan,nm0634240
Q25547,Poornitha,nm3277136
Q25571,Hans Richter,nm0725256
Q25839,Birol Ünel,nm0960379
Q11930,Kevin Costner,nm0000126
Q1698,Serge Gainsbourg,nm0006092
Q40067,Candy Clark,nm0163748
Q40069,Sara Ramirez,nm0708381
Q882,Charlie Chaplin,nm0000122
Q873,Meryl Streep,nm0000658
Q40321,Dave Chappelle,nm0152638
Q40337,Sandra Oh,nm0644897
Q32049,Jang Keun-suk,nm1658941
Q32196,Katarina Ivanovska,nm4689415
Q32223,Nina Bott,nm0098617
Q40103,Toby Stephens,nm0827170
Q26178,Felix Solis,nm0813101
Q26184,Nikolai Simonov,nm0800660
Q40057,Jessica Capshaw,nm0004800
Q40117,Rutina Wesley,nm2179180
Q40122,Mike Vogel,nm1036181
Q1545,Cyndi Lauper,nm0490980
Q40048,Isaiah Washington,nm0913460
Q40054,Jonathan Ross,nm0743552
Q11330,Masato Harada,nm0361735
Q11617,Aaliyah,nm0004691
Q26048,Mara Corday,nm0179408
Q26053,Carlos PenaVega,nm1821327
Q26058,James Maslow,nm3148185
Q32337,Lita Grey,nm0340614
Q32342,Sonali Bendre,nm0007114
Q1276,Leonard Cohen,nm0169552
Q25144,Kevin Spacey,nm0000228
Q40132,Jonas Armstrong,nm1765073
Q26208,Carlo Lizzani,nm0515491
Q26231,Corey Stoll,nm1015684
Q32787,Miroslav Krobot,nm1716909
Q40531,John Wayne,nm0000078
Q32529,Mietta,nm0585835
Q32608,Alice Belaïdi,nm3902885
Q26642,Gert van den Bergh,nm0886073
Q26688,Yuri Stoyanov,nm0831190
Q40263,Jay Grdina,nm0827542
Q40299,Nelsan Ellis,nm1734700
Q1779,Louis Armstrong,nm0001918
Q25529,Eric Stuart,nm0835688
Q32522,Jennifer Aniston,nm0000098
Q26424,Calista Flockhart,nm0001222
Q32927,Valery Leontiev,nm0503133
Q1744,Madonna,nm0000187
Q34076,Nathalia Dill,nm3102213
Q40475,Joan Crawford,nm0001076
Q33072,Graham Bonney,nm0095024
Q33635,Hema Malini,nm0004564
Q26091,Kevin Schmidt,nm0773056
Q26109,Hannah Harper,nm1112003
Q1716,Renaud,nm0719200
Q34436,Scarlett Johansson,nm0424060
Q11637,Judy Garland,nm0000023
Q11975,Britney Spears,nm0005453
Q32788,Stella Adler,nm0012245
Q32795,Alan Carr,nm1168834
Q34012,Marlon Brando,nm0000008
Q25890,Stephen Kramer Glickman,nm2811212
Q25974,Shy Love,nm1589182
Q14292,Louis Hunter,nm3003678
Q14439,Phoebe Cates-Kline,nm0000121
Q40470,Isaiah Mustafa,nm2248149
Q1785,Charles Aznavour,nm0002198
Q1802,Daniel Balavoine,nm0049490
Q34389,Whitney Houston,nm0001365
Q34851,Elizabeth Taylor,nm0000072
Q14446,Hanna R. Hall,nm0355632
Q14450,Paulo Costanzo,nm0182455
Q14535,Fred Armisen,nm0035488
Q12003,Cher,nm0000333
Q13909,Angelina Jolie,nm0001401
Q26695,Lionel Richie,nm0005360
Q26734,Johann Jürgens,nm4097003
Q40220,Susie Essman,nm0261435
Q40228,Claire Forlani,nm0001231
Q26294,Logan Henderson,nm3666718
Q26378,Ariel Winter,nm1736769
Q40572,Heath Ledger,nm0005132
Q26854,Jane Marken,nm0548355
Q32754,Atticus Shaffer,nm2557831
Q11998,Kylie Minogue,nm0001541
Q1768,Ella Fitzgerald,nm0280228
Q41129,Germán Valdés,nm0848910
Q41142,Jane Fonda,nm0000404
Q26539,Lisa Zane,nm0005571
Q26625,Marc Anthony,nm0004711
Q26806,Danny DeVito,nm0000362
Q26848,Leon Allen White,nm0925120
Q40143,Janeane Garofalo,nm0000413
Q40162,Kate Capshaw,nm0001009
Q2291,Totò,nm0869451
Q40791,Sandra Bullock,nm0000113
Q28152,Hark Bohm,nm0006737
Q26876,Taylor Swift,nm2357847
Q14539,Jason Sudeikis,nm0837177
Q26968,Sarah Jones,nm1967673
Q40501,Raúl Valerio,nm0884564
Q40523,Julia Roberts,nm0000210
Q40933,Eva Perón,nm0675831
Q2190,Coluche,nm0173354
Q26852,Roger Pierre,nm0682655
Q2673,Chuck Norris,nm0001569
Q12897,Pelé,nm0671446
Q40638,Blake Jenner,nm4296357
Q40645,Ludwig Berger,nm0003490
Q40646,Géza von Bolváry,nm0902006
Q27486,Katja Ebstein,nm0248284
Q27652,Kim Ji-han,nm3628633
Q28054,Judi Dench,nm0001132
Q26741,Brian Drummond,nm0238546
Q26763,Tom Schilling,nm0771713
Q16297,William Shatner,nm0000638
Q14747,Sancho Gracia,nm0333466
Q14972,Bill Raisch,nm0707199
Q16296,Patrick Stewart,nm0001772
Q1804,Barbara,nm0053219
Q2071,David Lynch,nm0000186
Q16397,Bruce Lee,nm0000045
Q34922,Diego Abatantuono,nm0007746
Q34975,Brian Cox,nm0004051
Q35709,Avy Scott,nm1764297
Q35728,Ashley Blue,nm1235596
Q2263,Tom Hanks,nm0000158
Q34529,Bela Lugosi,nm0000509
Q27277,Louis Mustillo,nm0615992
Q27322,Jason Lewis,nm0507314
Q27326,Caroline Sunshine,nm3089868
Q28151,John Shea,nm0790291
Q14540,Tina Fey,nm0275486
Q14542,Tracy Morgan,nm0605079
Q2593,Matthew Vaughn,nm0891216
Q40912,Frank Sinatra,nm0000069
Q34460,Gwyneth Paltrow,nm0000569
Q35358,Richard Norton,nm0636280
Q14536,Seth Meyers,nm1024878
Q14537,Bill Hader,nm0352778
Q35742,Alektra Blue,nm1956654
Q35912,Emmy Rossum,nm0002536
Q2685,Arnold Schwarzenegger,nm0000216
Q16428,Fritz Schediwy,nm0770406
Q35385,Glukoza,nm2447028
Q35387,Ariana Jollee,nm1355410
Q2750,Bourvil,nm0100186
Q41034,Julie Adams,nm0011105
Q2757,Lech Kaczyński,nm1007332
Q16345,Leonard Nimoy,nm0000559
Q16349,DeForest Kelley,nm0001420
Q41148,Martin Scorsese,nm0000217
Q16379,Sabyasachi Chakraborty,nm0149837
Q16390,Humphrey Bogart,nm0000007
Q35011,Frances Fisher,nm0004920
Q35332,Brad Pitt,nm0000093
Q36222,Ariel Rebel,nm3861907
Q36226,Amber Rayne,nm2285884
Q41163,Al Pacino,nm0000199
Q16472,Robert Mitchum,nm0000053
Q2597,Johanna Braddy,nm1715189
Q2643,George Harrison,nm0365600
Q41351,Jodie Foster,nm0000149
Q28262,Joel Kinnaman,nm1172478
Q2680,Bruce Willis,nm0000246
Q41222,Martxelo Rubio,nm0748358
Q41224,Kandido Uranga,nm0881561
Q16455,John Rhys-Davies,nm0722636
Q41715,Revalina Sayuthi Temat,nm2680444
Q41871,Paul Newman,nm0000056
Q41340,Katherine LaNasa,nm0478762
Q41342,Mary Tyler Moore,nm0001546
Q35937,Ashlynn Brooke,nm2516967
Q41233,Timothy Dalton,nm0001096
Q28310,Scott Adkins,nm0012078
Q28463,Bérénice Marlohe,nm2966102
Q40715,Jennifer Lopez,nm0000182
Q28211,Mireille Enos,nm0257969
Q28254,Vanessa Branch,nm0104376
Q35998,Aria Giovanni,nm1020082
Q36105,Charles Bronson,nm0000314
Q35393,Anja Juliette Laval,nm1473842
Q35454,Ava Vincent,nm0885287
Q35477,Alina Plugaru,nm2687469
Q16872,Aaron Kwok,nm0477209
Q18219,A. J. Buckley,nm0118568
Q18222,A. J. Cook,nm0176882
Q16836,Leon Lai,nm0481709
Q36441,Aurora Snow,nm0811239
Q36767,Robert Pattinson,nm1500155
Q16473,Steve Martin,nm0000188
Q16758,Ed O'Neill,nm0642145
Q2709,Sasha Grey,nm2340248
Q2737,Louis de Funès,nm0000086
Q28732,Beth Broderick,nm0110803
Q28755,Matthew Broderick,nm0000111
Q36153,Beyoncé,nm0461498
Q16766,Andy Lau,nm0490489
Q16781,Jacky Cheung,nm0156484
Q35480,Ashley Long,nm1179790
Q35640,Mikel Martinez,nm1932775
Q35642,Maria Cruickshank,nm3861745
Q18916,Gregory Smith,nm0808376
Q18918,Sam Witwer,nm1022429
Q3603,Jack Angel,nm0029460
Q3671,Justin Chadwick,nm0149491
Q28498,Brendan Sexton III,nm0786639
Q28558,Patricia Navidad,nm0623109
Q28702,Jacques Bousquet,nm0100222
Q3772,Quentin Tarantino,nm0000233
Q18989,Ryan Newman,nm1707018
Q18992,Gregory Itzin,nm0411857
Q28288,Eddie Redmayne,nm1519666
Q2808,Elton John,nm0005056
Q42598,Ted DiBiase Jr.,nm3078959
Q41396,Josh Brolin,nm0000982
Q42335,Martin Weinek,nm0918194
Q42581,Keira Knightley,nm0461136
Q36195,Molly Quinn,nm0703939
Q16759,Kaley Cuoco,nm0192505
Q36301,Anne Hathaway,nm0004266
Q41449,Michael Shannon,nm0788335
Q36268,Brigitte Bardot,nm0000003
Q3195,Geoffrey Arend,nm0034309
Q3319,Yukiko Kobayashi,nm0462085
Q36434,Audrey Hollander,nm1645483
Q18933,Rhoda Griffis,nm0341421
Q18938,Thomas Jane,nm0005048
Q28493,Ralph Fiennes,nm0000146
Q2831,Michael Jackson,nm0001391
Q28717,Mel Rodriguez,nm0735440
Q28487,Bérénice Bejo,nm0067367
Q3925,Grace Kelly,nm0000038
Q42204,Hugo Weaving,nm0915989
Q42229,Mel Gibson,nm0000154
Q29055,Sacha Baron Cohen,nm0056187
Q18735,Kotono Mitsuishi,nm0594074
Q18914,Hwang Sun-won,nm1305264
Q41422,Mark Ruffalo,nm0749263
Q28941,Frank Lloyd,nm0515979
Q28998,Reinhold Schünzel,nm0778306
Q19031,Zak Penn,nm0672015
Q19154,Graham Norton,nm0636218
Q28921,Hanna Schygulla,nm0778016
Q42869,Nicolas Cage,nm0000115
Q36980,George Peppard,nm0000577
Q29086,Matthew Lillard,nm0000498
Q29092,Desmond Llewelyn,nm0005155
Q4028,Paul Simon,nm0800328
Q4042,CeeLo Green,nm0123741
Q42101,Denzel Washington,nm0000243
