wikidata_id,name,imdb_id
Q2001,Stanley Kubrick,nm0000040
Q122127,Michael Bond,nm1286491
Q123745,Billy Williams,nm0930119
Q460376,Tony Gaudio,nm0309974
Q462027,Daniel L. Fapp,nm0005701
Q462569,Mac Ahlberg,nm0013972
Q462727,Félix Enríquez Alcalá,nm0258066
Q124209,Carl Drews,nm0002591
Q124434,Helmar Lerski,nm0503814
Q124954,Rainer Klausmann,nm0458430
Q125002,Ueli Steiger,nm0825336
Q126367,Philippe Agostini,nm0013221
Q463497,Miguel Ferrer,nm0001208
Q464425,"Ed Begley, Jr.",nm0000893
Q88670,Georg Bruckbauer,nm0115653
Q88680,Matthias Grunsky,nm0003442
Q89104,Willi Sohm,nm0812285
Q89163,Curt Courant,nm0183658
Q89199,Wolfgang Suschitzky,nm0839807
Q464764,Paul Vogel,nm0900944
Q465350,William Kennedy Dickson,nm0005690
Q465353,Kutluğ Ataman,nm0040248
Q336206,Nick Park,nm0661910
Q329176,George J. Folsey,nm0005706
Q329965,Billy Bitzer,nm0005658
Q330172,Timo Salminen,nm0758742
Q145173,Zalman King,nm0455394
Q152272,Georges Méliès,nm0617588
Q3610,Pierre Aïm,nm0044545
Q340451,Achim Poulheim,nm0693603
Q344472,Chris Soule,nm0815815
Q7374,Alfred Hitchcock,nm0000033
Q90926,Theodor Sparkuhl,nm0005882
Q91195,Erwin Hillier,nm0002915
Q91196,Eugen Schuhmacher,nm0775946
Q91245,Franz Osten,nm0652302
Q90354,Nikolaus Geyrhalter,nm0315430
Q90430,Alf Brustellin,nm0116753
Q90629,Carl Koch,nm0002569
Q90788,Götz Dieter Plage,nm2344775
Q471010,Claude Zidi,nm0956022
Q472058,Amir Mokri,nm0596360
Q472343,Amit Bhattacharya,nm0080339
Q478196,Bruno de Keyzer,nm0005756
Q348093,Lucien Ballard,nm0005644
Q349339,Doug Liman,nm0510731
Q349518,George W. Hill,nm0384276
Q89241,Günther Krampf,nm0005760
Q89470,Hans Androschin,nm0029098
Q89483,Ludwig Schaschek,nm0770200
Q89584,Mutz Greenbaum,nm0005727
Q8003,Sergei Eisenstein,nm0001178
Q467806,Amerigo Gengarelli,nm0312829
Q469449,Ruth Orkin,nm0649907
Q11319,David DeCoteau,nm0213983
Q345800,Joseph MacDonald,nm0531796
Q347864,Edwin Stanton Porter,nm0692105
Q347950,Gaspar Noé,nm0637615
Q351563,Joseph LaShelle,nm0005766
Q352087,Lee Ranaldo,nm0007145
Q353758,Jesús Franco,nm0001238
Q330778,Axel Graatkjær,nm0333175
Q335080,Makoto Shinkai,nm1396121
Q95285,Karl Platen,nm0686783
Q95683,Sepp Allgeier,nm0005634
Q95805,Frank Griebe,nm0340864
Q96033,Ralf D. Bode,nm0005659
Q466154,Jack E. Cox,nm0185055
Q466387,Jean Boffety,nm0091461
Q466405,Lance Comfort,nm0173806
Q98288,Willy Zielke,nm0956221
Q98601,Georg Brintrup,nm0109716
Q99072,Friedl Behn-Grund,nm0005650
Q166000,Gregg Toland,nm0005904
Q167475,Jacques Rivette,nm0729626
Q8342,Robert Legato,nm0499215
Q8586,Richard Edlund,nm0249430
Q8644,Gordon Jennings,nm0421157
Q155423,Néstor Almendros,nm0000743
Q480429,Antal Abonyi,nm0008857
Q481854,Amy Gilliam,nm0319094
Q484572,Hong Sang-soo,nm0393254
Q484973,Christopher Challis,nm0005666
Q484980,Don Burgess,nm0121281
Q5603,Andy Warhol,nm0912238
Q489559,William A. Fraker,nm0005710
Q489951,Geoffrey Unsworth,nm0005910
Q487069,Mikael Salomon,nm0004121
Q487094,Michael Chapman,nm0152469
Q487382,Michael Seresin,nm0785029
Q28028,Alfonso Cuarón,nm0190859
Q91925,Fred Kelemen,nm0445435
Q91933,Christoph Lauenstein,nm0490771
Q91958,Robert Cibis,nm1329163
Q92389,Willy Goldberger,nm0005724
Q93882,István Eiben,nm0005694
Q179720,Stephen Peet,nm0670336
Q127805,Herbert Ponting,nm0690677
Q132112,Roger Pratt,nm0695536
Q133730,Lars von Trier,nm0001885
Q168169,Zbigniew Rybczyński,nm0752960
Q178115,Robert L. Surtees,nm0005892
Q178291,Lisa Wiegand,nm0927332
Q179581,Roland Totheroh,nm0005906
Q8296,Rupert Wyatt,nm1012501
Q496124,Andreas Bethmann,nm0079194
Q497036,Dean Cundey,nm0005678
Q90072,Eduard Hoesch,nm0388581
Q90104,Peter Zeitlinger,nm0954432
Q90237,Bernhard Kammel,nm3235966
Q90300,Michael Glawogger,nm0322198
Q11321,Karl Brown,nm0113954
Q24296,Thomas E. Ackerman,nm0005630
Q25132,Paul Thomas Anderson,nm0000759
Q348015,Bitto Albertini,nm0005632
Q348050,Isidore Mankofsky,nm0542552
Q8662,L. B. Abbott,nm0008004
Q8873,Satyajit Ray,nm0006249
Q180137,Jan Kiesser,nm0452654
Q182148,Gilbert Taylor,nm0852405
Q182765,Sergey Urusevsky,nm0882201
Q485770,Gerry Fisher,nm0279518
Q486525,Anastas Michos,nm0003712
Q486883,Charles Lang,nm0485702
Q466626,Charles Magnusson,nm0536368
Q467574,Robert Frank,nm0291071
Q364017,Robert Richardson,nm0724744
Q349588,Adam Greenberg,nm0004229
Q349780,Adam Holender,nm0390435
Q350948,Edward Kłosiński,nm0460058
Q167678,Rene Ohashi,nm0644964
Q167683,John Hamburg,nm0357453
Q167853,James Crabe,nm0185583
Q354292,Adelchi Bianchi,nm0080577
Q354579,Neal Fredericks,nm0292864
Q506106,Otello Martelli,nm0005786
Q508497,Fernando Solanas,nm0812625
Q96428,Peter Berlin,nm0121509
Q97457,Günther Anders,nm0026012
Q97729,Josef Wirsching,nm0936185
Q97919,Lola Randl,nm1551485
Q103130,Sepp Ketterer,nm0450563
Q103158,Heinz Emigholz,nm0256384
Q103376,Karl Attenberger,nm0041000
Q103446,Marc Schölermann,nm0774340
Q43754,Willy Bogner,nm0091854
Q44131,Werner Herzog,nm0001348
Q99792,Hagen Bogdanski,nm0091686
Q99868,Christian Peschken,nm0675930
Q100598,Eugen Hamm,nm0358311
Q101068,Andy Fetscher,nm2755970
Q103013,Hans Ertl,nm0259917
Q490240,Alan Hume,nm0401727
Q490797,Anders Bohman,nm0002212
Q492401,Andor von Barsy,nm0901928
Q494445,Andrea Miano,nm0583947
Q494759,Andrea Pizzini,nm7950754
Q494835,Andrzej Bartkowiak,nm0005647
Q487671,Anatoli Golovnya,nm0326670
Q488925,Tak Fujimoto,nm0005714
Q489174,Alex Thomson,nm0004287
Q373115,Winton Hoch,nm0005743
Q374091,Phil Rosen,nm0005847
