wikidata_id,name,imdb_id
Q392,Bob Dylan,nm0001168
Q24541,E. H. Calvert,nm0130797
Q24583,Rustam Khamdamov,nm0451126
Q24829,Orson Welles,nm0000080
Q51562,Ernst Lubitsch,nm0523932
Q51564,John Landis,nm0000484
Q24907,Anker Sørensen,nm0845661
Q25014,John Cleese,nm0000092
Q55402,Yasujirō Ozu,nm0654868
Q55403,Nagisa Ōshima,nm0651915
Q51566,Spike Lee,nm0000490
Q636,Kate Bush,nm0124165
Q51577,James Ivory,nm0412465
Q51581,Howard Hawks,nm0001328
Q41042,Harold Pinter,nm0056217
Q853,Andrei Tarkovsky,nm0001789
Q25078,Terry Gilliam,nm0000416
Q55406,Shyam Benegal,nm0070867
Q55407,Raj Kapoor,nm0004292
Q25120,Pier Paolo Pasolini,nm0001596
Q25132,Paul Thomas Anderson,nm0000759
Q25100,Nanni Moretti,nm0604335
Q633,Neil Young,nm0949918
Q51583,Joseph L. Mankiewicz,nm0000581
Q52409,Marcel Carné,nm0138893
Q40912,Frank Sinatra,nm0000069
Q25144,Kevin Spacey,nm0000228
Q400,Jenna Jameson,nm0001398
Q41396,Josh Brolin,nm0000982
Q41131,Melvin Frank,nm0291035
Q41136,Arthur Penn,nm0671957
Q51582,William Friedkin,nm0001243
Q51570,George Roy Hill,nm0001351
Q51575,John Huston,nm0001379
Q55408,Hrishikesh Mukherjee,nm0611531
Q55409,Mehboob Khan,nm0006371
Q1203,John Lennon,nm0006168
Q42574,James Cameron,nm0000116
Q25186,Gus Van Sant,nm0001814
Q25191,Christopher Nolan,nm0634240
Q1666,Jacques Brel,nm0107035
Q1698,Serge Gainsbourg,nm0006092
Q41148,Martin Scorsese,nm0000217
Q55404,Ritwik Ghatak,nm0315547
Q55405,Bimal Roy,nm0746950
Q55412,F. W. Murnau,nm0003638
Q55413,William Dieterle,nm0226189
Q52411,Tony Richardson,nm0724798
Q52447,RZA,nm0753526
Q25089,Woody Allen,nm0000095
Q41351,Jodie Foster,nm0000149
Q25529,Eric Stuart,nm0835688
Q25571,Hans Richter,nm0725256
Q25974,Shy Love,nm1589182
Q53010,Marco Bellocchio,nm0069166
Q53011,Dario Argento,nm0000783
Q53002,François Truffaut,nm0000076
Q52997,Otto Preminger,nm0695937
Q53001,Jean-Luc Godard,nm0000419
Q55419,Klaus Kinski,nm0001428
Q53005,Alessandro Blasetti,nm0087704
Q25147,Franco Battiato,nm0061394
Q25152,Ram,nm3591496
Q55411,Wim Wenders,nm0000694
Q41871,Paul Newman,nm0000056
Q55421,Georg Wilhelm Pabst,nm0655065
Q55422,David Cronenberg,nm0000343
Q1646,Françoise Sagan,nm0755982
Q55410,Max Ophüls,nm0649097
Q41422,Mark Ruffalo,nm0749263
Q882,Charlie Chaplin,nm0000122
Q55415,Elene Larrinaga,nm0726166
Q55418,Margarethe von Trotta,nm0903137
Q27351,Senkichi Taniguchi,nm0849474
Q27419,Simon Wells,nm0920425
Q28028,Alfonso Cuarón,nm0190859
Q26372,Takeshi Kitano,nm0001429
Q53009,Bernardo Bertolucci,nm0000934
Q28054,Judi Dench,nm0001132
Q53006,Pietro Germi,nm0314584
Q42930,Dustin Hoffman,nm0000163
Q1744,Madonna,nm0000187
Q53003,Roberto Rossellini,nm0744023
Q53004,Vittorio De Sica,nm0001120
Q2001,Stanley Kubrick,nm0000040
Q55427,João César Monteiro,nm0599214
Q26208,Carlo Lizzani,nm0515491
Q26274,Nina Mercedez,nm1369628
Q41548,Antonio Banderas,nm0000104
Q26062,Robert Bolt,nm0004122
Q26109,Hannah Harper,nm1112003
Q26118,Jack Hawkins,nm0370144
Q42869,Nicolas Cage,nm0000115
Q55424,Peter Weir,nm0001837
Q55426,Glauber Rocha,nm0733790
Q53040,Franco Zeffirelli,nm0001874
Q53041,Valerio Zurlini,nm0958801
Q53020,Carmine Gallone,nm0303120
Q53023,Nanni Loy,nm0523439
Q55431,Wong Kar-wai,nm0939182
Q55432,John Woo,nm0000247
Q53012,Guido Brignone,nm0109264
Q53013,Mario Camerini,nm0131460
Q53015,Luigi Comencini,nm0173728
Q26200,Ben Stassen,nm0823721
Q55420,Fred Zinnemann,nm0003593
Q1785,Charles Aznavour,nm0002198
Q53024,Raffaello Matarazzo,nm0558127
Q53026,Mario Monicelli,nm0598102
Q53016,Giuseppe De Santis,nm0211459
Q53018,Marco Ferreri,nm0274659
Q28152,Hark Bohm,nm0006737
Q53007,Carlo Ludovico Bragaglia,nm0103855
Q53008,Mauro Bolognini,nm0006615
Q28151,John Shea,nm0790291
Q2190,Coluche,nm0173354
Q53028,Giuliano Montaldo,nm0598855
Q53031,Gillo Pontecorvo,nm0690597
Q2071,David Lynch,nm0000186
Q55435,Pupi Avati,nm0002194
Q55438,Mario Bava,nm0000878
Q53037,Ettore Scola,nm0778633
Q53039,Lina Wertmüller,nm0921631
Q26806,Danny DeVito,nm0000362
Q2263,Tom Hanks,nm0000158
Q55429,Jim Sheridan,nm0006487
Q55430,Zhang Yimou,nm0955443
Q53043,Giovanni Pastrone,nm0665163
Q53044,Elio Petri,nm0677880
Q55442,Liliana Cavani,nm0146960
Q55443,Sergio Corbucci,nm0179281
Q26852,Roger Pierre,nm0682655
Q55433,Michelangelo Antonioni,nm0000774
Q43881,Bernd Helfrich,nm0375063
Q42101,Denzel Washington,nm0000243
Q42229,Mel Gibson,nm0000154
Q44115,Zeynel Doğan,nm3171860
Q29086,Matthew Lillard,nm0000498
Q29250,Bill Murray,nm0000195
Q43044,Demi Moore,nm0000193
Q53834,Kiyoshi Kurosawa,nm0475905
Q54855,Yoram Gross,nm0343518
Q53034,Dino Risi,nm0728271
Q53035,Massimo Troisi,nm0873385
Q28941,Frank Lloyd,nm0515979
Q28998,Reinhold Schünzel,nm0778306
Q55428,Neil Jordan,nm0001403
Q28493,Ralph Fiennes,nm0000146
Q2593,Matthew Vaughn,nm0891216
Q2685,Arnold Schwarzenegger,nm0000216
Q43264,Manoel de Oliveira,nm0210701
Q43416,Keanu Reeves,nm0000206
Q55163,Robert Altman,nm0000265
Q55165,Krzysztof Kieślowski,nm0001425
Q53048,Francesco Maselli,nm0556255
Q53049,Luigi Magni,nm0536238
Q53050,Francesco Rosi,nm0742940
Q53052,Stefano Vanzina,nm0826642
Q43203,Clint Eastwood,nm0000142
Q53045,Giuseppe Tornatore,nm0868153
Q53046,Carlo Verdone,nm0893872
Q44414,Trey Parker,nm0005295
Q44426,Rainer Werner Fassbinder,nm0001202
Q55452,Vittorio Gassman,nm0002094
Q53412,Andres Veiel,nm0892000
Q53680,Jeff Daniels,nm0001099
Q2831,Michael Jackson,nm0001391
Q55458,Mario Mattoli,nm0560395
Q55460,Ferzan Özpetek,nm0654858
Q44515,Claude Pinoteau,nm0684509
Q28702,Jacques Bousquet,nm0100222
Q29328,Brie Larson,nm0488953
Q43754,Willy Bogner,nm0091854
Q43874,Eddie Murphy,nm0000552
Q55168,Thodoros Angelopoulos,nm0000766
Q55453,Augusto Genina,nm0312866
Q55454,Ugo Gregoretti,nm0339683
Q55456,Nino Manfredi,nm0542063
Q55190,Sergei Bondarchuk,nm0094083
Q28755,Matthew Broderick,nm0000111
Q28853,Audrius Stonys,nm0832336
Q31923,Bahman Ghobadi,nm0315842
Q32049,Jang Keun-suk,nm1658941
Q31225,Mark Robson,nm0733476
Q31293,Vondie Curtis-Hall,nm0193554
Q55444,Damiano Damiani,nm0198765
Q55447,Vittorio De Seta,nm0211548
Q55450,Aldo Fabrizi,nm0264762
Q43896,Hans Conrad Fischer,nm0278933
Q44107,Peter Handke,nm0359563
Q29621,J. Neil Schulman,nm0776090
Q30876,Yash Chopra,nm0007181
Q55796,Peter Ustinov,nm0001811
Q44131,Werner Herzog,nm0001348
Q44221,Sean Penn,nm0000576
Q55193,Dziga Vertov,nm0895048
Q55195,Vsevolod Pudovkin,nm0699877
Q4500,Vince Gilligan,nm0319213
Q4636,Barbra Streisand,nm0000659
Q2737,Louis de Funès,nm0000086
Q55171,Pedro Almodóvar,nm0000264
Q55172,Alexander Sokurov,nm0812546
Q44410,Matt Stone,nm0001778
Q56005,Ridley Scott,nm0000631
Q56008,Tim Burton,nm0000318
Q55462,Antonio Pietrangeli,nm0682881
Q55465,Gabriele Salvatores,nm0759368
