wikidata_id,name,imdb_id
Q26178,Felix Solis,nm0813101
Q26200,Ben Stassen,nm0823721
Q43264,Manoel de Oliveira,nm0210701
Q43371,Chris Meledandri,nm0577560
Q26118,Jack Hawkins,nm0370144
Q26173,Pablo Schreiber,nm1032567
Q43203,Clint Eastwood,nm0000142
Q400,Jenna Jameson,nm0001398
Q489,Bill Maher,nm0005175
Q44063,Reese Witherspoon,nm0000702
Q882,Charlie Chaplin,nm0000122
Q43896,Hans Conrad Fischer,nm0278933
Q43994,Matt Groening,nm0004981
Q26208,Carlo Lizzani,nm0515491
Q26274,Nina Mercedez,nm1369628
Q55198,Alexander Dovzhenko,nm0235590
Q55207,Nikita Mikhalkov,nm0586482
Q233466,Elisabeth Moss,nm0005253
Q55171,Pedro Almodóvar,nm0000264
Q55208,Andrei Konchalovsky,nm0464846
Q43416,Keanu Reeves,nm0000206
Q44131,Werner Herzog,nm0001348
Q44158,Dave Bautista,nm1176985
Q1203,John Lennon,nm0006168
Q44410,Matt Stone,nm0001778
Q28151,John Shea,nm0790291
Q44221,Sean Penn,nm0000576
Q28497,Marc Forster,nm0286975
Q26741,Brian Drummond,nm0238546
Q55215,Alejandro González Iñárritu,nm0327944
Q44529,Leonardo Favio,nm0269420
Q44561,Kevin James,nm0416673
Q233584,Jeanette Winterson,nm0936019
Q233748,Akshay Kumar,nm0474774
Q28152,Hark Bohm,nm0006737
Q55221,Alexander Korda,nm0466099
Q55230,Emeric Pressburger,nm0696247
Q55234,Michael Powell,nm0003836
Q28254,Vanessa Branch,nm0104376
Q28493,Ralph Fiennes,nm0000146
Q43754,Willy Bogner,nm0091854
Q43874,Eddie Murphy,nm0000552
Q233566,Charlaine Harris,nm2363895
Q873,Meryl Streep,nm0000658
Q1744,Madonna,nm0000187
Q55210,Abbas Kiarostami,nm0452102
Q55211,Mohsen Makhmalbaf,nm0538532
Q44414,Trey Parker,nm0005295
Q44426,Rainer Werner Fassbinder,nm0001202
Q28556,Michel Hazanavicius,nm0371890
Q26806,Danny DeVito,nm0000362
Q27167,Ann Druyan,nm0238668
